OID,FID_,COUNT,AREA,MEAN
-1,60235,14,12600.000000000000000,-0.086260417742389
-1,60236,37,33300.000000000000000,-0.121343970298767
-1,60237,3,2700.000000000000000,-0.023537869254748
-1,60238,6,5400.000000000000000,-0.059098156789939
-1,60239,12,10800.000000000000000,-0.090895245472590
-1,60240,9,8100.000000000000000,-0.042112252778477
-1,60241,9,8100.000000000000000,-0.051986922820409
-1,60242,7,6300.000000000000000,-0.046567857265472
-1,60243,11,9900.000000000000000,-0.047771644863215
-1,60244,23,20700.000000000000000,-0.051908684165581
-1,60245,44,39600.000000000000000,-0.044762712818655
-1,60246,36,32400.000000000000000,-0.058238219055865
-1,60247,5,4500.000000000000000,-0.031271019577980
-1,60248,25,22500.000000000000000,-0.053748029470444
-1,60249,14,12600.000000000000000,-0.051910084273134
-1,60250,15,13500.000000000000000,-0.030533541242282
-1,60251,1,900.000000000000000,-0.095086157321930
-1,60252,5,4500.000000000000000,-0.042781057953835
-1,60253,13,11700.000000000000000,-0.043450802564621
-1,60254,12,10800.000000000000000,-0.064086935172478
-1,60255,18,16200.000000000000000,-0.057074273626010
-1,60256,11,9900.000000000000000,-0.059034762057391
-1,60257,6,5400.000000000000000,0.012990665932496
-1,60258,3,2700.000000000000000,-0.033082820475101
-1,60259,6,5400.000000000000000,-0.085593263308207
-1,60260,3,2700.000000000000000,-0.034776523709297
-1,60261,4,3600.000000000000000,-0.078671798110008
-1,60262,15,13500.000000000000000,-0.025163432955742
-1,60263,2,1800.000000000000000,-0.133129015564919
-1,60264,15,13500.000000000000000,-0.068659878770510
-1,60265,7,6300.000000000000000,-0.068010404706001
-1,60266,4,3600.000000000000000,0.002426914870739
-1,60267,32,28800.000000000000000,-0.070078732445836
-1,60268,2,1800.000000000000000,-0.050656788051128
-1,60269,1,900.000000000000000,-0.097634434700012
-1,60270,11,9900.000000000000000,-0.030839777128263
-1,60271,4,3600.000000000000000,-0.045363724231720
-1,60272,18,16200.000000000000000,-0.064291550881333
-1,60273,6,5400.000000000000000,-0.052369457979997
-1,60274,3,2700.000000000000000,0.019349783658981
-1,60275,1,900.000000000000000,-0.096781849861145
-1,60276,4,3600.000000000000000,-0.019930891692638
-1,60277,14,12600.000000000000000,-0.110624855118138
-1,60278,18,16200.000000000000000,-0.102896011537976
-1,60279,3,2700.000000000000000,-0.080762863159180
-1,60280,24,21600.000000000000000,-0.039460271596909
-1,60281,21,18900.000000000000000,-0.049235068616413
-1,60282,6,5400.000000000000000,-0.059858339528243
-1,60283,47,42300.000000000000000,-0.082351194417223
-1,60284,10,9000.000000000000000,-0.066749020665884
-1,60285,12,10800.000000000000000,-0.170629421869914
-1,60286,37,33300.000000000000000,-0.031859592006013
-1,60287,2,1800.000000000000000,-0.100909657776356
-1,60288,1,900.000000000000000,-0.023197591304779
-1,60289,3,2700.000000000000000,-0.087137917677561
-1,60290,2,1800.000000000000000,-0.048945218324661
-1,60291,15,13500.000000000000000,-0.050887835025787
-1,60292,31,27900.000000000000000,-0.077226579189301
-1,60293,2,1800.000000000000000,0.004450455307961
-1,60294,18,16200.000000000000000,-0.053480419019858
-1,60295,1,900.000000000000000,-0.018036574125290
-1,60296,6,5400.000000000000000,-0.049358210215966
-1,60297,3,2700.000000000000000,-0.049409503738085
-1,60300,6,5400.000000000000000,-0.106562390923500
-1,60301,13,11700.000000000000000,-0.010920481039928
-1,60302,1,900.000000000000000,-0.076352775096893
-1,60303,2,1800.000000000000000,-0.061327710747719
-1,60304,2,1800.000000000000000,-0.037873774766922
-1,60305,15,13500.000000000000000,-0.069347245494525
-1,60306,13,11700.000000000000000,-0.057701834119283
-1,60307,8,7200.000000000000000,-0.087570030242205
-1,60308,10,9000.000000000000000,-0.082346846908331
-1,60309,12,10800.000000000000000,-0.047195548812548
-1,60310,15,13500.000000000000000,-0.046090860168139
-1,60311,7,6300.000000000000000,-0.037189789116383
-1,60312,6,5400.000000000000000,-0.063818246126175
-1,60313,2,1800.000000000000000,-0.030057780444622
-1,60314,1,900.000000000000000,-0.103307068347931
-1,60315,6,5400.000000000000000,-0.046491714815299
-1,60316,9,8100.000000000000000,-0.008596797784170
-1,60317,9,8100.000000000000000,-0.097949802875519
-1,60318,2,1800.000000000000000,-0.092174291610718
-1,60319,5,4500.000000000000000,-0.064465351402760
-1,60320,10,9000.000000000000000,-0.015656484663486
-1,60321,12,10800.000000000000000,-0.057893509666125
-1,60322,3,2700.000000000000000,-0.039559493462245
-1,60323,8,7200.000000000000000,-0.089644290506840
-1,60324,6,5400.000000000000000,-0.021931963662306
-1,60325,7,6300.000000000000000,-0.084815248847008
-1,60326,5,4500.000000000000000,-0.041172963380814
-1,60327,6,5400.000000000000000,-0.094154735406240
-1,60328,3,2700.000000000000000,-0.102585320671399
-1,60329,7,6300.000000000000000,-0.036866362605776
-1,60330,6,5400.000000000000000,-0.052176502843698
-1,60331,3,2700.000000000000000,-0.077091202139854
-1,60332,1,900.000000000000000,-0.013276219367981
-1,60333,10,9000.000000000000000,-0.050065234303474
-1,60334,2,1800.000000000000000,-0.100009329617023
-1,60335,2,1800.000000000000000,-0.068939775228500
-1,60336,2,1800.000000000000000,-0.094258755445480
-1,60337,7,6300.000000000000000,-0.071140834263393
-1,60338,7,6300.000000000000000,-0.054116338491440
-1,60339,2,1800.000000000000000,-0.057464107871056
-1,60340,4,3600.000000000000000,-0.064672209322453
-1,60341,4,3600.000000000000000,-0.086508393287659
-1,60342,32,28800.000000000000000,-0.049112004693598
-1,60343,16,14400.000000000000000,-0.037279172334820
-1,60344,1,900.000000000000000,-0.040803357958794
-1,60345,2,1800.000000000000000,-0.024907760322094
-1,60346,7,6300.000000000000000,-0.103865644761494
-1,60347,5,4500.000000000000000,0.006891787052155
-1,60348,29,26100.000000000000000,-0.034374145790935
-1,60349,4,3600.000000000000000,-0.041075780987740
-1,60350,4,3600.000000000000000,-0.089736234396696
-1,60351,1,900.000000000000000,0.037990421056747
-1,60352,2,1800.000000000000000,-0.071466162800789
